,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,prior_tag_liberal_sum,prior_tag_republican_sum,prior_tag_foreign_sum,prior_tag_policy_sum,prior_tag_mexico_sum,prior_tag_china_sum,prior_tag_russia_sum,prior_tag_obama_sum,prior_tag_taxes_sum,prior_tag_media_sum,is_weekend,delta
105,2,0.026895120261522805,3.3046274950572585e-08,1168.5,33540.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.718359999999997
106,11,0.045883594009852376,0.00031930778601179126,705.4545454545455,51934.67272727273,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,False,-0.056999999999995055
107,6,0.06353284911202038,0.0017748933930836614,1017.6666666666666,244520.26666666666,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,False,-0.0284600000000097
108,9,0.051203757826801276,0.0003164315534078271,859.4444444444445,55713.27777777778,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,False,-0.046429999999993754
109,4,0.02365788248793055,0.0002968458078007221,827.25,271894.9166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.4452500000000015
110,1,0.059437985754800714,0.0,913.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.1321399999999997
111,1,0.030644497845900714,0.0,1194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.5989300000000028
112,6,0.04879107041054173,5.81792150584663e-05,718.8333333333334,129929.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,False,-0.22540999999999656
113,1,0.03666028014115304,0.0,1236.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.23094000000000392
114,4,0.06212113831698815,0.001208674620878112,905.75,98215.58333333333,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,-0.5896499999999989
