,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,is_weekend,prev_day_approval,approve_estimate
777,8,18008.375,7729869.125000005,10:08:49.625000,110694.29626488095,0,0,0,0,0,0,0,0,0,1,0,False,41.73955,38.68817
778,12,11698.833333333334,24165156.87878788,11:29:35.083333,184031.64956860268,2,0,0,2,0,0,0,1,0,0,0,False,41.73809,38.37829
779,8,14215.625,35003706.26785714,13:10:58.750000,175124.8355357143,1,0,0,0,0,0,0,0,1,0,0,False,41.71772,38.21691
780,6,22207.666666666668,91219912.66666666,12:12:17,116450.94944444444,0,0,0,1,0,0,0,0,0,0,0,False,41.64219,37.76652
781,1,27290.0,0.0,16:38:46,-1.0,0,0,0,1,0,0,0,0,0,0,0,False,41.413540000000005,37.50347
782,13,24521.23076923077,139594102.85897434,07:02:04.230769,110114.03908119659,0,0,0,1,1,0,0,0,1,0,0,True,41.46376,37.35038
783,4,17855.25,32178062.916666668,07:53:15,280867.0457407407,0,0,0,2,0,0,0,0,0,0,0,True,41.43812,37.28516
784,7,19551.14285714286,142458745.14285716,15:06:20.142857,80540.07883597884,1,0,0,1,0,0,0,0,1,0,0,False,41.58909,37.3336
785,5,16186.6,115487663.3,07:12:35.800000,276415.9074166666,0,0,0,3,0,0,0,0,0,0,0,False,41.53641,37.22177
786,5,21841.4,48501439.8,14:33:49.800000,29448.78297222222,0,0,0,1,0,1,0,0,0,0,0,False,41.412620000000004,37.318529999999996
787,6,12490.0,45694957.6,12:30:17.500000,11975.430083333333,0,0,0,1,0,0,0,0,1,0,0,False,41.64378,36.822070000000004
788,4,20921.0,91862466.0,13:10:39,5.06462962962963,0,0,0,1,0,0,0,0,0,0,0,False,41.88325,36.928129999999996
789,11,16649.545454545456,29689087.47272727,14:09:27.818182,34195.73876767677,0,0,0,1,0,0,0,0,0,0,0,True,41.88325,36.921440000000004
790,12,13628.833333333334,107311297.6060606,10:09:44.500000,164371.8067929293,0,0,0,4,0,0,0,0,0,0,0,True,42.149770000000004,36.93331
791,14,13446.0,17081331.846153848,13:15:50.571429,152396.84344932844,1,0,0,2,0,0,0,0,2,0,0,False,42.33524,36.91675
792,15,12317.333333333334,75351192.23809524,13:31:07.400000,76735.0859047619,0,0,0,4,0,0,0,0,2,0,0,False,41.903659999999995,37.01527
793,10,17716.0,25737883.333333332,10:41:42.100000,175814.0858919753,0,0,0,1,0,0,0,0,0,0,0,False,41.889990000000004,36.92514
794,8,12549.875,17375864.696428567,10:33:48.875000,293756.44812996034,0,0,0,1,0,0,0,0,0,0,0,False,41.881370000000004,36.81282
795,3,19211.0,7889221.0,10:00:06.333333,131732.62509259259,0,0,0,0,0,0,0,0,0,0,0,False,41.94569,37.05765
796,1,28832.0,0.0,23:22:07,-1.0,0,0,0,0,0,0,0,0,0,0,0,True,41.94569,37.72692
797,10,21102.4,84356471.82222222,14:50:53.100000,178831.0660154321,1,0,0,0,0,0,0,0,0,0,0,True,42.13171,37.79533
798,8,18836.0,79660782.0,15:18:03.625000,42868.81682043651,0,0,0,0,0,0,0,1,0,0,0,False,42.13772,37.79533
